MARCA;CATEGORIA;TRANSMISION;KILOMETRAJE;COLOR;VALOR MERCADO;PRECIO VENTA
Acura;Sedan;automatic;12905;silver;19950;20400
Kia;SUV;automatic;16611;gray;20500;20750
Volvo;Wagon;automatic;12273;white;31200;30000
Chevrolet;Coupe;automatic;11204;black;21900;10250
Chevrolet;Sedan;automatic;40560;gray;12800;12800
Hyundai;Sedan;automatic;5335;white;13850;6600
Infiniti;G Coupe;automatic;14716;white;25900;25000
Infiniti;G Sedan;automatic;68;black;25700;27250
Infiniti;G Sedan;automatic;24112;white;22800;22500
Infiniti;G Coupe;automatic;4859;black;27200;26750
Infiniti;G Coupe;automatic;21126;black;25100;26500
Infiniti;G Sedan;automatic;26675;blue;22500;23750
Infiniti;G Sedan;automatic;19978;white;23300;24500
Infiniti;SUV;automatic;10532;black;30800;32000
Infiniti;G Sedan;automatic;25859;blue;22700;21750
Hyundai;SUV;automatic;14974;white;28300;27000
Hyundai;Sedan;automatic;21463;gray;27100;27400
Hyundai;Sedan;automatic;22961;gray;31500;25000
Hyundai;Sedan;automatic;56651;red;10250;10700
Hyundai;SUV;automatic;11439;white;28500;30800
Hyundai;Sedan;automatic;39935;silver;11250;11000
Infiniti;G Coupe;automatic;20317;gray;25200;26250
Hyundai;Sedan;automatic;37436;silver;11400;8800
Infiniti;G Sedan;automatic;26888;white;22400;23250
Infiniti;G Coupe;automatic;7815;white;26800;27000
Hyundai;Sedan;automatic;54830;silver;10950;11500
Hyundai;Sedan;manual;2606;white;13450;12300
Hyundai;Sedan;automatic;36416;blue;12150;11400
Hyundai;Sedan;automatic;26412;black;12050;11750
Hyundai;Sedan;automatic;11099;silver;19650;16500
Infiniti;G Sedan;automatic;11250;black;24300;23500
Hyundai;Sedan;automatic;16386;white;18000;18800
Hyundai;SUV;automatic;20663;gray;19500;19200
Infiniti;G Sedan;automatic;16154;gray;23700;22750
Infiniti;G Sedan;automatic;22405;gray;23000;23000
Infiniti;G Sedan;automatic;28172;silver;22300;21000
Infiniti;G Sedan;automatic;18600;white;23400;24750
Infiniti;G Sedan;automatic;11440;black;24300;23000
Hyundai;Sedan;automatic;28231;gray;12650;13400
Hyundai;SUV;automatic;13225;black;23400;26000
Hyundai;Sedan;automatic;41888;gray;11800;11900
Hyundai;Sedan;automatic;35428;black;16000;16200
Hyundai;Sedan;automatic;36307;gray;11500;11700
Hyundai;Sedan;automatic;13736;black;18350;17700
Hyundai;Sedan;automatic;25442;gold;12150;6700
Infiniti;G Sedan;automatic;15208;white;23800;25250
Infiniti;G Sedan;automatic;10929;white;24700;21000
Infiniti;G Sedan;automatic;29672;white;22100;23000
Infiniti;G Sedan;automatic;22165;black;23000;22750
Infiniti;G Sedan;automatic;21263;black;23100;22000
Infiniti;G Sedan;automatic;24971;gray;22900;21250
Hyundai;Sedan;automatic;37290;white;11400;11000
Hyundai;SUV;automatic;17367;black;21400;24100
Infiniti;G Sedan;automatic;11847;white;24200;25000
Infiniti;G Sedan;automatic;15562;gray;23800;24500
Hyundai;Sedan;automatic;18479;white;16900;18100
Infiniti;G Sedan;automatic;22021;black;23000;22000
Hyundai;Sedan;automatic;34136;black;9700;8100
Hyundai;Hatchback;automatic;10474;white;15000;16100
Infiniti;G Coupe;automatic;16338;gray;25700;25500
Hyundai;Sedan;automatic;47010;silver;9275;3500
Hyundai;Elantra Coupe;automatic;11809;black;14600;16100
Infiniti;G Coupe;automatic;15131;white;25900;26000
Infiniti;G Sedan;automatic;28053;black;22300;25000
Infiniti;G Sedan;automatic;19587;blue;23300;23500
Infiniti;G Sedan;automatic;20246;gray;23200;24750
Infiniti;G Sedan;automatic;17337;white;23600;20250
Hyundai;Sedan;automatic;48510;white;11350;6500
Infiniti;G Sedan;automatic;23104;blue;22900;22750
Infiniti;G Sedan;automatic;5017;white;25100;23500
Infiniti;G Sedan;automatic;24054;gray;22900;18750
Hyundai;Sedan;automatic;36194;silver;12150;13200
Infiniti;G Sedan;automatic;14264;white;23900;20750
Hyundai;Sedan;automatic;8595;silver;19100;18500
Hyundai;Hatchback;automatic;9927;black;10800;11300
Hyundai;Sedan;automatic;37759;beige;11400;11800
Infiniti;SUV;automatic;40087;gray;27700;27250
Hyundai;Sedan;automatic;25960;gray;12100;8800
Infiniti;G Sedan;automatic;25132;white;22600;23500
Infiniti;G Sedan;automatic;14887;gray;23900;24500
Hyundai;Sedan;automatic;41841;gray;9425;9400
Hyundai;Sedan;automatic;34566;silver;20000;20300
Hyundai;SUV;automatic;10747;black;19850;25800
Hyundai;Sedan;automatic;42798;gray;11100;7600
Hyundai;Sedan;automatic;16684;white;14900;14800
Infiniti;G Sedan;automatic;18420;gray;23700;18250
Hyundai;Sedan;automatic;35824;gray;11500;8700
Infiniti;G Coupe;automatic;17090;black;25600;21500
Infiniti;G Coupe;automatic;12735;black;26300;22500
Infiniti;G Sedan;automatic;24031;blue;22800;20500
Infiniti;G Sedan;automatic;29907;gray;21400;21000
Hyundai;SUV;automatic;19109;red;16450;17500
Infiniti;G Sedan;automatic;26396;gray;22500;23750
Infiniti;G Sedan;automatic;23507;gray;23000;21000
Hyundai;Sedan;automatic;34745;white;12250;12700
Hyundai;Sedan;automatic;10564;black;15350;16500
Hyundai;Sedan;automatic;16132;black;21200;21400
Infiniti;G Sedan;automatic;16854;gray;23600;25750
Infiniti;G Sedan;automatic;19551;white;23300;25000
Infiniti;G Sedan;automatic;14486;brown;23900;22000
Hyundai;Sedan;automatic;17831;white;17750;18200
Infiniti;G Sedan;automatic;26792;gray;22600;18000
Hyundai;Sedan;automatic;19152;silver;21000;22200
Infiniti;G Coupe;automatic;19492;white;25300;26250
Hyundai;Sedan;automatic;50160;blue;11500;11900
Infiniti;G Sedan;automatic;19368;white;23300;23000
Hyundai;Sedan;automatic;12154;white;27900;27500
Hyundai;Sedan;automatic;11566;white;36800;25000
Infiniti;G Sedan;automatic;25635;white;22600;26500
Hyundai;Sedan;automatic;39062;blue;12000;12200
Hyundai;Sedan;automatic;29006;gray;11900;8700
Hyundai;Sedan;automatic;8559;red;13150;10800
Infiniti;G Sedan;automatic;26907;gray;22400;21750
Infiniti;G Sedan;automatic;14765;gray;23900;23500
Infiniti;G Sedan;automatic;18673;gray;23400;22000
Hyundai;Sedan;automatic;37279;red;11400;4500
Infiniti;G Sedan;automatic;20707;white;23200;23500
Hyundai;Hatchback;automatic;8467;black;15050;16300
Infiniti;G Sedan;automatic;16009;gray;23700;22750
Infiniti;G Sedan;automatic;15260;silver;23800;24500
Hyundai;Sedan;automatic;9539;silver;15450;14900
Infiniti;G Sedan;automatic;20976;black;23100;21000
Infiniti;G Sedan;automatic;22294;black;23000;24750
Hyundai;Sedan;automatic;44135;gray;11650;8400
Infiniti;G Coupe;automatic;30556;gray;23900;23500
Infiniti;G Sedan;automatic;29731;white;22100;21000
Hyundai;Sedan;automatic;36957;red;11400;9400
Infiniti;G Coupe;automatic;13321;white;26100;26000
Hyundai;Sedan;automatic;6552;black;21800;21400
Hyundai;Sedan;automatic;22143;red;17150;17100
Infiniti;G Sedan;automatic;23420;gray;22800;22250
Hyundai;Sedan;automatic;33078;white;9675;7800
Infiniti;G Sedan;automatic;28875;gray;22200;21000
Hyundai;Hatchback;automatic;6747;gray;11300;11900
Hyundai;Sedan;automatic;38170;gray;11350;11600
Infiniti;G Sedan;automatic;23156;white;23100;23000
Hyundai;Sedan;automatic;32387;silver;12400;9750
Hyundai;Sedan;automatic;40593;white;11900;12000
Infiniti;G Coupe;automatic;13661;gray;26100;26500
Infiniti;G Sedan;automatic;21557;white;23100;25250
Infiniti;G Sedan;automatic;20067;gray;23300;24000
Hyundai;Sedan;automatic;45991;gray;15750;17200
Infiniti;G Coupe;automatic;22354;gray;24900;25000
Hyundai;Sedan;automatic;20952;silver;18650;22200
Hyundai;SUV;automatic;15758;gray;21600;21400
Hyundai;Sedan;automatic;37154;black;12400;12100
Hyundai;Sedan;automatic;35963;black;11500;11500
Infiniti;G Sedan;automatic;28920;blue;22200;23250
Hyundai;Sedan;automatic;19893;white;18800;22500
Hyundai;Sedan;automatic;38594;gray;11350;11800
Hyundai;Sedan;automatic;19035;gray;12500;12600
Infiniti;G Coupe;automatic;16605;black;25700;25500
Infiniti;G Sedan;automatic;28127;silver;22300;21500
Hyundai;SUV;automatic;14076;gray;19800;25500
Hyundai;Elantra Coupe;automatic;999999;blue;8025;2500
Infiniti;G Sedan;automatic;17916;blue;23800;24750
Hyundai;Sedan;automatic;42006;gray;11150;11300
Hyundai;Sedan;automatic;7755;black;35500;36000
Hyundai;Sedan;automatic;41481;silver;11150;11500
Infiniti;G Sedan;automatic;22828;black;22900;24500
Hyundai;Sedan;;1111;silver;15550;15800
Hyundai;Hatchback;automatic;27387;silver;9950;11400
Infiniti;G Sedan;automatic;23097;white;22900;21250
Infiniti;G Sedan;automatic;9373;black;24900;26250
Infiniti;G Sedan;automatic;15802;silver;23800;25000
Infiniti;G Sedan;automatic;27333;black;22400;24500
Hyundai;Sedan;automatic;8495;white;15500;16100
Hyundai;Sedan;automatic;22033;silver;13050;13700
Infiniti;G Sedan;automatic;20263;black;23200;26000
Infiniti;G Sedan;automatic;28694;black;22200;21500
Infiniti;G Sedan;automatic;30464;gray;22000;24000
Infiniti;G Sedan;automatic;10610;white;24400;23500
Hyundai;Sedan;automatic;25447;silver;12150;7500
Hyundai;Sedan;automatic;13505;red;14550;13800
Infiniti;G Sedan;automatic;19573;white;23300;22000
Hyundai;Hatchback;automatic;27532;yellow;13100;11300
Hyundai;Sedan;automatic;33158;gray;11650;9400
Hyundai;Sedan;automatic;36991;white;12100;13400
Hyundai;Sedan;automatic;35518;red;12200;10700
Hyundai;SUV;automatic;15160;blue;23100;22200
Infiniti;G Sedan;automatic;20202;black;23200;21750
Hyundai;Genesis Coupe;automatic;12730;red;21400;23000
Hyundai;Sedan;automatic;11798;black;18650;18400
Hyundai;SUV;automatic;41783;green;17600;17400
Hyundai;Sedan;automatic;35995;silver;25900;27200
Infiniti;G Sedan;automatic;17541;white;23600;24750
Hyundai;Sedan;automatic;40322;silver;11900;12300
Hyundai;Sedan;automatic;47516;black;11850;11700
Hyundai;Hatchback;manual;15813;green;10500;9500
Infiniti;G Sedan;automatic;23470;black;22800;24500
Infiniti;G Sedan;automatic;29782;gray;22100;21500
Infiniti;G Sedan;automatic;10993;blue;24400;24250
Infiniti;G Sedan;automatic;18921;gray;23400;21750
Hyundai;SUV;automatic;32413;white;16150;17500
Hyundai;Sedan;automatic;20;silver;20300;19900
Infiniti;G Sedan;automatic;32437;white;22000;20500
Hyundai;Sedan;automatic;38388;gray;11350;11700
Hyundai;Sedan;automatic;21579;black;12350;12600
Infiniti;G Sedan;automatic;17672;black;23500;21500
Hyundai;Sedan;automatic;13162;black;18450;18600
Infiniti;G Sedan;automatic;16486;black;23700;24000
Infiniti;G Sedan;automatic;11596;white;24300;26000
Infiniti;G Sedan;automatic;16153;blue;23700;24000
Infiniti;G Sedan;automatic;9785;blue;24500;23000
Hyundai;Sedan;automatic;13871;white;15100;15900
Infiniti;G Coupe;automatic;26843;gray;24400;24250
Infiniti;G Coupe;automatic;18548;gray;25400;25000
Infiniti;G Sedan;automatic;25016;white;22700;24750
Hyundai;Sedan;automatic;11041;black;19800;12500
Infiniti;G Sedan;automatic;9535;black;24500;25000
Hyundai;Sedan;automatic;40045;white;11900;12300
Infiniti;G Sedan;automatic;23481;white;22800;25750
Hyundai;Sedan;automatic;37499;blue;12050;12400
Infiniti;G Sedan;automatic;13273;gray;24100;25750
Hyundai;Sedan;automatic;37060;blue;12350;10100
Hyundai;SUV;automatic;66;silver;23100;20800
Hyundai;Sedan;automatic;35828;gold;9600;6700
Infiniti;G Sedan;automatic;20408;gray;23500;24000
Infiniti;G Sedan;automatic;16833;gray;23600;24750
Infiniti;G Coupe;automatic;16219;gray;25700;26500
Infiniti;G Sedan;automatic;20070;gray;23300;22000
Infiniti;G Sedan;automatic;13632;gray;24000;22000
Infiniti;G Coupe;automatic;6802;white;26900;23250
Infiniti;G Sedan;automatic;20432;white;23200;24250
Hyundai;Sedan;automatic;24120;brown;11950;5200
Hyundai;Sedan;automatic;10241;blue;15100;16900
Hyundai;Sedan;automatic;41710;gray;11150;7700
Hyundai;Sedan;automatic;25895;white;12850;12900
Jeep;SUV;manual;9153;red;34300;35250
Kia;Sedan;automatic;16045;white;16000;16800
Nissan;Sedan;automatic;37136;red;12900;13800
Mercedes-Benz;Sedan;automatic;4811;black;55100;45500
Nissan;Sedan;automatic;62381;black;11700;11900
Lexus;Sedan;automatic;39590;white;32100;32100
Mitsubishi;SUV;automatic;36071;silver;14750;15000
Kia;Sedan;automatic;11757;black;16050;16500
Kia;Sedan;automatic;24131;black;21200;21250
Nissan;Sedan;automatic;38766;black;12850;12100
Nissan;Sedan;automatic;44303;silver;12550;13000
Infiniti;G Sedan;automatic;36931;gray;21300;22250
Nissan;Sedan;automatic;38974;silver;12800;13600
Jeep;SUV;automatic;41173;black;27100;27000
Mazda;Hatchback;automatic;24252;black;9825;9100
Nissan;Sedan;automatic;37020;red;13400;13600
Kia;Sedan;automatic;31406;silver;9775;8900
Mercedes-Benz;Sedan;automatic;20161;white;23100;25000
Kia;Sedan;automatic;14061;black;14150;11700
Nissan;Sedan;automatic;47601;black;12600;12200
Mazda;Hatchback;automatic;44392;red;8475;8500
Kia;Sedan;automatic;19543;black;15900;16100
Nissan;Convertible;automatic;445;silver;29800;28750
Kia;Wagon;automatic;48270;black;11250;11000
Kia;SUV;automatic;48050;silver;15700;12750
Kia;Sedan;automatic;36667;black;9375;9800
Kia;Wagon;manual;11699;silver;11400;6900
Mitsubishi;SUV;automatic;37713;blue;15650;14000
Mercedes-Benz;Sedan;automatic;31978;black;22000;21000
Lexus;Sedan;automatic;24478;gray;28900;27750
Mercedes-Benz;Sedan;automatic;4995;black;35400;31750
Mazda;Sedan;automatic;54715;gray;9900;10600
MINI;Hatchback;automatic;36498;green;13550;13600
Mercedes-Benz;Sedan;;16426;black;52600;54250
Mazda;SUV;automatic;46733;red;19150;20500
Infiniti;G Sedan;automatic;33838;gray;21600;20250
Nissan;Coupe;automatic;33985;black;13700;8000
Kia;Sedan;automatic;54978;black;7050;9200
Mazda;SUV;automatic;44289;gray;19050;20000
Kia;SUV;automatic;20209;burgundy;21700;21500
Nissan;Sedan;automatic;38688;red;12850;13500
Nissan;Sedan;automatic;40931;charcoal;12750;13500
Nissan;Sedan;automatic;39364;silver;12800;13500
Jeep;SUV;automatic;32090;white;12600;13900
Nissan;Coupe;automatic;10506;black;23600;21500
Nissan;Coupe;automatic;10510;gray;15650;15500
Mazda;Sedan;automatic;47917;black;9100;9600
Infiniti;SUV;automatic;37738;gray;32000;32250
Infiniti;G Sedan;automatic;19683;gray;23300;26000
Infiniti;G Sedan;automatic;37527;white;21700;23000
Kia;Sedan;automatic;14012;black;22200;22200
Nissan;Sedan;automatic;37395;white;13150;13400
Kia;Hatchback;manual;4668;red;14050;14200
Nissan;Sedan;automatic;35900;black;12950;13500
Nissan;Sedan;automatic;38395;white;12850;13100
Kia;Wagon;manual;59886;black;10200;7000
Land Rover;SUV;automatic;2059;gray;58500;42000
Kia;Sedan;automatic;24614;burgundy;16200;10600
Mazda;Minivan;automatic;39272;red;11300;12400
Kia;Hatchback;automatic;4850;red;10650;6300
Nissan;Sedan;automatic;48463;white;12350;14000
Infiniti;G Sedan;automatic;23642;gray;23300;23000
Mazda;Sedan;automatic;45649;black;10250;10000
Infiniti;G Coupe;automatic;10055;gray;26300;27000
Infiniti;Sedan;automatic;9338;white;34700;34500
Kia;Sedan;automatic;55885;gray;9175;8800
Mazda;SUV;automatic;41807;gray;18850;19900
Nissan;Coupe;automatic;42938;gray;12400;13300
Kia;Sedan;automatic;19078;white;15950;16500
MINI;Hatchback;automatic;36000;green;12750;13700
Mazda;Minivan;automatic;40275;gray;12050;12200
Lexus;Sedan;automatic;17786;beige;34500;33000
Kia;Sedan;automatic;45800;black;8550;3850
Land Rover;SUV;automatic;25524;blue;35400;35500
MINI;Hatchback;automatic;28156;black;13400;2500
Nissan;Sedan;automatic;45685;gray;12550;13200
Infiniti;G Sedan;automatic;48156;black;19800;22250
Kia;Sedan;manual;22658;white;9225;5500
Kia;Sedan;automatic;13508;white;9475;7500
Jeep;SUV;automatic;31688;red;12650;13000
Mitsubishi;SUV;automatic;39473;gray;14300;14700
Infiniti;G Sedan;manual;21898;gray;25400;26250
Mercedes-Benz;Coupe;automatic;10782;gray;26000;26000
Lexus;Sedan;automatic;71;gold;66000;64000
Mercedes-Benz;Sedan;automatic;14557;black;53000;51500
Kia;Sedan;automatic;18554;gray;15950;15700
Mitsubishi;SUV;automatic;36990;silver;14550;14800
Mercedes-Benz;SUV;automatic;21052;gray;29500;25500
Nissan;Sedan;automatic;35591;gray;13600;12700
Jeep;SUV;automatic;41997;black;24200;25250
Kia;SUV;automatic;40331;gray;15050;15200
Nissan;Sedan;automatic;40425;white;13200;12500
Kia;Sedan;automatic;8177;silver;14450;15300
Jeep;SUV;automatic;39566;black;25200;26750
Mercedes-Benz;Coupe;automatic;18960;black;25300;22750
Kia;Sedan;automatic;21258;white;15900;16400
Kia;Sedan;automatic;81410;black;6775;2700
Kia;Sedan;automatic;20984;white;15900;16500
Kia;Sedan;automatic;26360;brown;13450;13300
Kia;Sedan;;17689;purple;13900;14800
Infiniti;G Sedan;automatic;46548;gray;20700;21000
Infiniti;G Sedan;automatic;35450;gray;21400;23000
Mercedes-Benz;Sedan;automatic;24168;black;55300;56250
Lincoln;SUV;automatic;39459;burgundy;24700;24500
Land Rover;SUV;automatic;25808;white;31700;30000
Mazda;Minivan;automatic;7787;white;14200;14000
lincoln;;automatic;74874;black;19300;17750
Infiniti;G Sedan;manual;13149;black;27100;28250
Lexus;Sedan;automatic;21189;silver;34200;31900
Jaguar;Sedan;automatic;10067;black;33700;26000
Mercedes-Benz;Sedan;automatic;23615;white;22600;22250
Kia;Wagon;automatic;39476;black;11400;6000
Kia;Sedan;automatic;13929;white;14150;14300
Nissan;Sedan;automatic;39159;silver;12800;13500
Nissan;Sedan;automatic;37182;gray;12900;13300
Mercedes-Benz;Coupe;automatic;19780;black;25300;23750
Kia;Sedan;automatic;21642;white;15900;16600
Mercedes-Benz;SUV;automatic;26853;gray;46200;48000
Mazda;Minivan;automatic;36898;gray;12400;13100
Kia;SUV;automatic;32685;blue;14000;15250
Mercedes-Benz;SUV;automatic;16584;silver;47300;46750
Jaguar;Sedan;automatic;6891;blue;34100;26000
Kia;Hatchback;automatic;11342;black;10500;12000
Mercedes-Benz;SUV;automatic;6536;silver;40400;42750
MINI;Wagon;automatic;41357;silver;16300;16500
Kia;SUV;automatic;71662;black;14050;14000
Mercedes-Benz;Sedan;automatic;38407;black;53300;54000
Nissan;Coupe;automatic;36975;red;13000;13500
Kia;SUV;automatic;28790;blue;16800;13500
Nissan;Coupe;automatic;38530;white;13200;13600
Mercedes-Benz;SUV;;32532;;36100;34500
Land Rover;SUV;automatic;9214;white;37400;39000
Kia;Sedan;automatic;39081;white;8075;8500
Kia;Sedan;automatic;35707;silver;12900;13300
Mercedes-Benz;Sedan;automatic;38691;black;47900;48000
Nissan;Sedan;automatic;38666;silver;12850;13300
Jeep;SUV;automatic;42482;black;24200;25000
Land Rover;SUV;automatic;5403;gray;38600;30500
Mazda;SUV;automatic;40884;black;18800;19600
Mazda;Hatchback;automatic;37317;white;8625;2600
Mercedes-Benz;Sedan;automatic;33776;black;49500;46500
Nissan;Sedan;automatic;43262;black;12750;13400
Infiniti;G Sedan;automatic;42887;black;21300;19900
Infiniti;G Sedan;automatic;40101;blue;21600;20250
Infiniti;Sedan;automatic;6787;silver;34600;33500
Mazda;Sedan;automatic;39573;blue;10650;11800
Infiniti;G Sedan;automatic;42547;black;20500;17250
Kia;Sedan;automatic;67229;white;18300;19000
Mercedes-Benz;Coupe;automatic;23783;black;24900;22500
Lexus;SUV;automatic;21932;burgundy;36200;37750
Nissan;Sedan;automatic;45568;black;12550;12000
Mercedes-Benz;Sedan;automatic;22984;white;22800;21750
Mazda;Minivan;automatic;37664;gray;11750;13000
Mitsubishi;Sedan;automatic;27059;blue;19600;18900
Infiniti;G Coupe;manual;19058;black;27300;28750
MINI;Hatchback;automatic;36764;white;13500;14000
Mercedes-Benz;Sedan;automatic;10862;black;57200;57250
Mazda;Minivan;automatic;14818;black;13850;15000
Mercedes-Benz;Sedan;automatic;23941;black;22600;21750
Kia;Sedan;automatic;11238;gray;22400;23000
Nissan;Sedan;automatic;38444;gray;12850;13500
Infiniti;Sedan;automatic;9810;silver;34600;30000
Nissan;Sedan;automatic;21968;white;13650;13750
Kia;Sedan;automatic;33980;gray;10200;10400
Kia;Sedan;automatic;37213;red;8725;9500
Kia;Sedan;automatic;38247;red;19850;17000
Land Rover;SUV;automatic;26757;black;61000;60000
Lexus;Sedan;automatic;20880;gray;29400;29300
Mercedes-Benz;Sedan;automatic;31064;gray;31000;30750
Mercedes-Benz;Coupe;automatic;19538;white;33200;32250
Lexus;Sedan;automatic;42813;black;31900;31000
Infiniti;Sedan;automatic;8691;black;34800;33500
Kia;Sedan;automatic;30333;black;20600;19900
Mitsubishi;SUV;automatic;40498;brown;14200;14600
Mitsubishi;Sedan;automatic;38311;red;9900;10100
Mercedes-Benz;Sedan;automatic;10616;white;34700;34750
Infiniti;G Sedan;automatic;32635;black;21700;21750
Lexus;Sedan;automatic;22672;gold;34500;34500
MINI;Hatchback;automatic;42973;red;12400;12500
Volkswagen;Sedan;automatic;22907;white;14450;8000
Toyota;Sedan;automatic;34915;black;11400;9200
Volvo;SUV;automatic;34933;white;21200;22900
Toyota;Minivan;automatic;49188;gray;17150;18000
Nissan;Hatchback;automatic;38134;gray;13750;14400
Toyota;Hatchback;automatic;28412;white;9775;7800
Nissan;Sedan;;73267;silver;10600;9100
Nissan;SUV;automatic;36802;silver;13600;2800
Nissan;Van;automatic;47268;white;14850;14000
Toyota;Sedan;automatic;19836;orange;13500;14100
Toyota;Sedan;automatic;30464;white;11650;4500
